id,countryCode,name,city,address,postalCode,latitude,longitude,updated,comment
8849,LV,Lats (Latvijas Pasts),Mālpils,Nākotnes iela 8,LV-2152,57.010382235,24.952579781,2026-02-06 14:54:15.901,
8848,LV,Elvi (Latvijas Pasts),Taurene,Lauras,LV-4119,57.159374443,25.663981160,2026-02-06 14:54:00.666,
8847,LV,Top (Latvijas Pasts),Ērgļi,Rīgas iela 13,LV-4840,56.897340018,25.635104094,2026-02-06 14:53:48.457,
8845,LV,Top (Latvijas Pasts),Viesīte,Raiņa iela 23,LV-5237,56.345871089,25.556496778,2026-02-06 14:53:17.66,
8844,LV,Top (Latvijas Pasts),Cesvaine,Augusta Saulieša iela 2,LV-4871,56.968461905,26.307517985,2026-02-06 14:53:04.213,
8842,LV,Lats (Latvijas Pasts),Jaunkalsnava,Vesetas iela 5,LV-4860,56.688684552,25.969765053,2026-02-06 14:52:39.879,
8840,LV,Top (Latvijas Pasts),Jaunpils,Jāņkrogs,LV-3145,56.731299449,23.014118356,2026-02-06 14:52:11.671,
8838,LV,Ziedu veikals Kamēlija (Latvijas Pasts),Ropaži,Kastanīši,LV-2135,56.973052253,24.633972555,2026-02-06 14:51:45.644,
8837,LV,Lats (Latvijas Pasts),Nīca,Skolas iela 6,LV-3473,56.346033237,21.066376496,2026-02-06 14:51:32.898,
8836,LV,Top (Latvijas Pasts),Krauja,Daugavas iela 23,LV-5451,55.906513952,26.650743799,2026-02-06 14:51:17.341,
8834,LV,Top (Latvijas Pasts),Varakļāni,Pils iela 7D,LV-4838,56.611131896,26.758497491,2026-02-06 14:50:51.799,
8833,LV,Top (Latvijas Pasts),Mazsalaca,Baznīcas iela 2,LV-4215,57.859647828,25.056575867,2026-02-06 14:50:41.9,
8832,LV,Elvi (Latvijas Pasts),Ragana,Tirgus iela 10,LV-2144,57.181372826,24.715880919,2026-02-06 14:50:30.842,
8831,LV,Aibe (Latvijas Pasts),Dundaga,Talsu iela 20,LV-3270,57.506731123,22.349281156,2026-02-06 14:50:18.933,
8828,LV,Top (Latvijas Pasts),Eleja,Stacijas iela 2,LV-3023,56.408565989,23.681127936,2026-02-06 14:49:50.231,
8827,LV,Top (Latvijas Pasts),Jaunpiebalga,Gaujas iela 25B,LV-4125,57.177150389,26.032778420,2026-02-06 14:49:36.248,
8826,LV,Top (Latvijas Pasts),Skrīveri,Daugavas iela 97,LV-5125,56.649728585,25.120851085,2026-02-06 14:49:24.474,
8825,LV,Top (Latvijas Pasts),Aknīste,Augšzemes iela 17,LV-5208,56.161406407,25.748921849,2026-02-06 14:49:11.655,
8824,LV,Top (Latvijas Pasts),Rauna,Cēsu iela 2,LV-4131,57.331642041,25.609117716,2026-02-06 14:48:53.9,
8822,LV,Citro (Latvijas Pasts),Mērsrags,Lielā iela 31,LV-3284,57.336870672,23.122945519,2026-02-06 14:48:23.606,
8821,LV,Pasts (Latvijas Pasts),Priekule,Aizputes iela 16,LV-3434,56.446914876,21.584941704,2026-02-06 14:48:08.312,
8820,LV,Aibe (Latvijas Pasts),Priekuļi,Cēsu prospekts 44,LV-4126,57.313365307,25.358767100,2026-02-06 14:47:52.241,
8819,LV,Latvijas aptieka (Latvijas Pasts),Lapmežciems,Franči,LV-3118,57.001951749,23.514440844,2026-02-06 14:47:41.202,
8818,LV,Lats (Latvijas Pasts),Jaunjelgava,Jelgavas iela 3A,LV-5134,56.616334931,25.075782515,2026-02-06 14:47:27.51,
8817,LV,Top (Latvijas Pasts),Nākotne,Skolas iela 4,LV-3040,56.619833080,23.440093216,2026-02-06 14:47:15.212,
8816,LV,Elvi (Latvijas Pasts),Ogresgals,Steigas 4,LV-5041,56.807742554,24.728953548,2026-02-06 14:47:03.559,
8815,LV,TOP (Latvijas Pasts),Liepa,Rūpnīcas iela 8A,LV-4128,57.388150498,25.419663003,2026-02-06 14:46:47.251,
8814,LV,TOP (Latvijas Pasts),Liepāja,Sila iela 3,LV-3402,56.553988183,21.042385028,2026-02-06 14:46:35.334,
